Date,Open,High,Low,Close,Volume
2026-03-13,23462.5,23492.400390625,23112.0,23151.099609375,519800
2026-03-16,23116.099609375,23502.0,22955.25,23408.80078125,540300
2026-03-17,23493.19921875,23656.80078125,23346.599609375,23581.150390625,458800
2026-03-18,23632.900390625,23862.25,23618.44921875,23777.80078125,382900
2026-03-19,23197.75,23378.69921875,22930.349609375,23002.150390625,550100
2026-03-20,23110.150390625,23345.150390625,23067.599609375,23114.5,663300
2026-03-23,22824.349609375,22851.69921875,22471.25,22512.650390625,550300
2026-03-24,22878.44921875,23057.30078125,22624.19921875,22912.400390625,538100
2026-03-25,23064.400390625,23465.349609375,23063.19921875,23306.44921875,505400
2026-03-27,23173.55078125,23186.099609375,22804.55078125,22819.599609375,612600
2026-03-30,22549.650390625,22714.099609375,22283.849609375,22331.400390625,698600
2026-04-01,22899.0,22941.30078125,22618.599609375,22679.400390625,518000
2026-04-02,22383.400390625,22782.30078125,22182.55078125,22713.099609375,495100
2026-04-06,22780.30078125,22998.349609375,22542.94921875,22968.25,426400
2026-04-07,22838.69921875,23153.849609375,22719.30078125,23123.650390625,477000
2026-04-08,23855.150390625,24025.150390625,23828.5,23997.349609375,639300
2026-04-09,23909.05078125,23990.75,23682.80078125,23775.099609375,466600
2026-04-10,23880.55078125,24074.05078125,23856.349609375,24050.599609375,481300
2026-04-13,23589.599609375,23907.400390625,23555.599609375,23842.650390625,488800
2026-04-15,24163.80078125,24280.900390625,24145.80078125,24231.30078125,460300
2026-04-16,24385.19921875,24400.94921875,24102.80078125,24196.75,508000
2026-04-17,24165.900390625,24371.900390625,24096.05078125,24353.55078125,498600
2026-04-20,24391.5,24480.650390625,24241.25,24364.849609375,415900
2026-04-21,24374.55078125,24601.69921875,24354.900390625,24576.599609375,425800
2026-04-22,24470.849609375,24515.94921875,24352.900390625,24378.099609375,440500
2026-04-23,24202.349609375,24310.19921875,24134.80078125,24173.05078125,467500
2026-04-24,24100.55078125,24206.0,23813.650390625,23897.94921875,438400
2026-04-27,23945.44921875,24130.69921875,23936.19921875,24092.69921875,430300
2026-04-28,24049.900390625,24181.80078125,23957.05078125,23995.69921875,554100
2026-04-29,24096.900390625,24334.69921875,24059.94921875,24177.650390625,531100
2026-04-30,23996.94921875,24087.44921875,23796.849609375,23997.55078125,505500
2026-05-04,24063.55078125,24290.19921875,24004.75,24119.30078125,419100
2026-05-05,24052.599609375,24081.69921875,23882.05078125,24032.80078125,363300
2026-05-06,24171.0,24356.5,23997.900390625,24330.94921875,429200
2026-05-07,24398.5,24482.099609375,24284.0,24326.650390625,440600
2026-05-08,24233.650390625,24253.80078125,24126.650390625,24176.150390625,335900
2026-05-11,23970.099609375,23997.44921875,23799.099609375,23815.849609375,390100
2026-05-12,23722.599609375,23757.55078125,23348.400390625,23379.55078125,447500
2026-05-13,23362.44921875,23582.94921875,23262.55078125,23412.599609375,415400
